business_id,name,city,state,postal_code,stars,review_count,is_open
9enpsB9cGGzX0Log6Y8OrQ,Marston's Cafe,Phoenix,AZ,85004,4.0,21.0,1
HBZd08iiOuIdZHyt4mRSSQ,Town Talk II,Phoenix,AZ,85015,4.0,78.0,0
U1g7IHZcnRmOc2m3mvWNig,Zoes Kitchen,Phoenix,AZ,85016,3.5,210.0,1
_imnJaX4EG_BaoXMCyxFig,McDonald's,Phoenix,AZ,85040,1.5,,1
nQlMWmJ-Zp3Zcpr4wZoVcw,The Vault Cafe,Phoenix,AZ,85016,3.5,3.0,0
XrHXxf9IGiZY9qnqpefgQA,Jack in the Box,Phoenix,AZ,85053,2.0,18.0,1
ZOQ7KCmeQA33hKtdmMVQUA,Don Taco Mobile Taco Stand,Phoenix,AZ,85032,4.5,7.0,1
_Fuf_7YczZoJhWHkjsi7hQ,Royal Pita,Phoenix,AZ,85051,4.5,13.0,0
DQOmmI7iXUH5XryVtoIOYg,Nelson's Meat + Fish,Phoenix,AZ,85016,5.0,82.0,1
ZXBrJx0Yd8lmvxZM5ZOIFw,Jamba Juice,Phoenix,AZ,85022,3.0,52.0,1
Gn06kr2XLQo_sIxzGkjIGg,Rolberto's Taco Shop,Phoenix,AZ,85032,3.0,3.0,0
x3XQJ3f-UPR24jQ591R-Fw,Maximillians Coyote Cafe,Phoenix,AZ,85016,,3.0,0
9a3DrZvpYxVs3k_qwlCNSw,Cibo,Phoenix,AZ,85003,4.5,2164.0,1
vYz5pcA2ivh6PoLJtE9KJw,Bill Johnson's Big Apple Restaurants,Phoenix,AZ,85017,3.5,5.0,0
z4ZaBiHsVsxiF8SAv1Asag,La Casita Cafe,Phoenix,AZ,85041,5.0,3.0,0
BNgX9JydW3AGYYB6k2sbNA,Fry's,Phoenix,AZ,85028,3.5,19.0,1
EJoktI-Gyr6zSRyeCYcSsQ,F1 Food And Fuel,Phoenix,AZ,85020,5.0,3.0,1
0Rni7ocMC_Lg2UH0lDeKMQ,Barro's Pizza,Phoenix,AZ,85048,3.0,118.0,1
Bkkwt8E9MHvgCHn4lUFtow,Roy's Restaurant,Phoenix,AZ,85054,3.5,369.0,1
pNSHrFBlwWgTY9es9sdEWA,El Chiltepin Mexican Food,Phoenix,AZ,85041,4.5,8.0,0
Qk36E2wRexicmtcUrEyWsQ,Los Compadres,Phoenix,AZ,85021,3.0,106.0,0
otlnxBQqCEmUmRONAB5elA,Menchie's Frozen Yogurt,Phoenix,AZ,85029,,61.0,1
oEg1duFGiwMOE5PUu35wtQ,Carniceria La Hereford,Phoenix,AZ,85020,4.5,6.0,1
ulvhY9bckuDWF8qey_yM9Q,Filiberto's Mexican Food,Phoenix,AZ,85053,3.0,20.0,1
tfERf8uk_WKIyY3Us1BThA,Tacos La Lomita,Phoenix,AZ,85043,4.0,41.0,1
yXj1P-pc6CGDFSta-45L5Q,First Watch,Phoenix,AZ,85018,4.0,241.0,1
1VQJyXwDakcHa-RZUCUe9w,Starbucks,Phoenix,AZ,85027,2.5,71.0,1
jZ_3vs_RtMrkZbol1U_U7Q,Greekfest Restaurant,Phoenix,AZ,85016,3.5,113.0,1
yvkV-GRXNlHA3nEG05qo4A,Sugar and Lace Bakery,Phoenix,AZ,85053,5.0,5.0,1
xm6OKOUnvpn58ejuY6-yQQ,Safeway,Phoenix,AZ,85016,3.5,66.0,1
lbpr7FMsWJNcaOQDHW9Qng,Zax Cafe,Phoenix,AZ,85021,4.0,15.0,0
raVyoZbWWuN7JcFUdT7k2g,Sochu House,Phoenix,AZ,85004,,,0
SBDq5PMLK0-gPVl-lsLQYw,The Human Bean,Phoenix,AZ,85029,4.5,7.0,1
4670Yw1xIefONEViw5NDFQ,Burger Mania,Phoenix,AZ,85023,3.5,105.0,1
kQVdmKJ7yASvbcDvoNiWFA,Corner Store,Phoenix,AZ,85022,2.0,4.0,0
u4ihxqmtr1X230QA9ElJgg,My Mom's Thai Kitchen,Phoenix,AZ,85003,3.5,54.0,0
M_AuwEJTLUEIejktqmDWlg,Popeyes Louisiana Kitchen,Phoenix,AZ,85016,2.0,58.0,1
pdy6EAcJvZks1hKogxOj6Q,New Asian Kitchen,Phoenix,AZ,85053,4.0,,1
_BCwZIK6GYht9cM-HGLduQ,Las Jicaras Mexican Grill,Phoenix,AZ,85021,4.5,11.0,0
TdsVQBxlPBdpQHzuGzLtzA,Oak-Wood Fire Pizza,Phoenix,AZ,85028,,4.0,1
gjbtRs83TxePrJNNGyrJ0Q,Wholesale Organic Chicken Feed Buyers' Club,Phoenix,AZ,85018,4.0,4.0,1
wx7fvfCq53tNFieI4FiBWg,MOD Pizza,Phoenix,AZ,85029,4.0,208.0,1
l-4NYOJ9KvXYgSe_tQVu-w,Carniceria,Phoenix,AZ,85032,,4.0,1
RdiW5_xrcLbwvG0D7I3cIg,Mateo's,Phoenix,AZ,85013,3.5,3.0,0
zSicVxnJHV8indit0oFuNw,South Mountain Cafe,Phoenix,AZ,85040,4.5,74.0,0
Jsfag1tWh3I408hDTcA7EQ,Mary Coyle Ol Fashion Ice Cream,Phoenix,AZ,85013,4.0,153.0,0
w3-INmhtrrRQUTsNUshyDw,Charleys Grilled Subs,Phoenix,AZ,85051,4.5,7.0,1
b207RNqIAhTd4JsRsnXB1Q,Los Dos Molinos,Phoenix,AZ,85014,3.5,335.0,1
5_PpFtjeLq1seO84SapJWw,Papa John's Pizza,Phoenix,AZ,85021,3.5,,0
GmYOYKLbwOcfI2mUcfOFdQ,Tammie Coe To Go,Phoenix,AZ,85034,3.5,29.0,1
cl52HltTt7tV5o6ANZq8OQ,TGI Friday's,Phoenix,AZ,85050,2.5,25.0,0
hb96ToDVKWQkAj5h-UB5Ow,Pho 602,Phoenix,AZ,85017,4.0,195.0,1
EwqExeH9wkG3NaUHV-OtBQ,Flowers Craft Beer & Wine,Phoenix,AZ,85004,5.0,12.0,0
5mTbPNAl9ObpmI1lc7Ug0w,Pho 32,Phoenix,AZ,85016,4.5,108.0,1
kvqULv65K7Zie2cYv6e6RQ,Celas's Pizza,Phoenix,AZ,85020,4.0,29.0,1
QylMuwQjVHo5ElzNLw9gpg,Desert Springs Brewing Company,Phoenix,AZ,85034,2.0,15.0,1
2gzB4EE7B_QEFWZtJTG4dA,Stella,Phoenix,AZ,85016,3.5,59.0,0
dq36AQPI2QsydKLXTnzb1A,Water N Ice,Phoenix,AZ,85051,4.0,11.0,1
CiGvnoHtvvzra2RB23lNpQ,Taco Bell,Phoenix,AZ,85042,2.5,11.0,1
7ge2DIxgQAl20_wr4yUgsA,Pizza Studio,Phoenix,AZ,85003,4.0,195.0,1
2CWGr0FqPmCGoJA8mkXjng,The Halal Guys,Phoenix,AZ,85044,3.5,101.0,1
n62dcL1e8BQA1_kUEYrldQ,Shangri-La Chinese,Phoenix,AZ,85029,4.0,161.0,1
v0TT3dcZ8OdTtaJEKxIcuA,Wingstop,Phoenix,AZ,85029,3.0,62.0,1
GqGeQYvcMQASrzPbyuJ1xw,Second Line Creole Caribbean Cuisine,Phoenix,AZ,85040,4.0,6.0,0
